name,flavors,race,positive,negative,medical,Rating,Description
Americano,"Earthy, Diesel, Spicy/Herbal, Tobacco",indica,"Relaxed, Euphoric, Creative, Focused, Aroused",,"Pain, Nausea, Headaches",4.6,"Americano is a Canadian strain released by Enterprise Seeds. It is a Northern Lights/Skunk hybrid that is named for the American consumers it was designed to attract. When tourists, notably Americans, came to Vancouver looking to purchase bulk cannabis, they wanted their buds to have “bag appeal,” or stunning visual characteristics that made it easy to sell. Americano is known for its heavy coat of trichromes and its thick dense colas. The flavors and aromas of Americano stay true to its Skunk lineage and produce a sweet, piney musk. The effects are exactly what you would expect from an indica-driven hybrid: fast-acting, relaxing, and sleepy. Americano is a solid answer to symptoms of insomnia, headaches, and chronic pain."
Amnesia,"Earthy, Sweet, Citrus, Skunk",sativa,"Relaxed, Euphoric, Happy, Energetic, Uplifted, Creative","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches",4.3,"Amnesia is typically a sativa-dominant cannabis strain with some variation between breeders. Skunk, Cinderella 99, and Jack Herer are some of Amnesia’s genetic forerunners, passing on uplifting, creative, and euphoric effects ideal for treating mood disorders. Growers should expect a 9-10 week flowering period with moderate yields. This strain normally has a high THC and low CBD profile and produces intense psychotropic effects that new consumers should be wary of. "
Anesthesia,"Sweet, Earthy, Pungent",indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Pain, Stress, Headache, Headaches, Inflammation",4.1,"Anesthesia is the result of breeding the popular old school Afghan Skunk indica with Herojuana. It was created in 2007 by breeder Whazzup in an effort to keep the Afghani Skunk strain going as it had long been only available as a cutting from another plant. Anesthesia was selected as a “Breeder’s Choice” Selection by Dutch seed company Sannie’s Seeds, which has helped to spread its popularity and availability. When grown, these plants branch quite a bit and may grow wider and closer to the ground rather than tall before flowering at 9-10 weeks. Anesthesia flowers are dense and covered in crystals. They have a musky, earthy smell and flavor that is common in its Afghan heritage. Known for its strong, sedative indica buzz, this is a strain that’s often recommended for pain—just as its name would suggest."
Appalachia,"Pungent, Earthy, Woody, Skunk",hybrid,"Relaxed, Hungry, Euphoric, Happy, Creative, Giggly",Dry Eyes,"Pain, Cramps, Lack of Appetite, Inflammation, Muscle Spasms",4.8,"Appalachia is a hybrid cross between Green Crack and Tres Dawg bred by High & Lonesome Seeds. A layer of white, cloudy trichomes gives the buds a sage green color with darker leaves and fiery hairs peeking out from underneath. With an aroma of earthy pine and subtle fruit, Appalachia delivers a dreamy and yet functional cerebral buzz paired with relaxing full-body effects. Sensory perception and appetite are sharpened while pain and other symptoms dull, making Appalachia a coveted strain among medical patients and recreational consumers alike."
Appleberry,"Berry, Earthy, Flowery, Apple, Sweet",indica,"Relaxed, Sleepy, Focused, Happy, Hungry, Euphoric",,"Depression, Stress, Lack of Appetite, Headaches, Muscle Spasms",4.6,"Appleberry by Sumo Seeds in an indica-dominant yield machine. Bred from (Dynamite x Bubblelicious) x White Widow, this strain has classic Central Asian and Central American roots while expressing a terpene profile all its own. The strain’s aroma exemplifies its title, smelling of a subtle apple and berry. Its effects are extremely relaxing, bordering on sedative, imbuing the limbs with a warm weighted aura. Utilize Appleberry as an anxiolytic and for all-around pain relief. Appleberry won 1st place in the 'Bio' category at the 2016 Highlife Cup in Amsterdam."
Argyle,"Earthy, Woody, Citrus, Spicy/Herbal, Pungent",indica,"Relaxed, Happy, Energetic, Uplifted, Focused, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Cramps, Fatigue",3.9,"Argyle is a variety of Nordle grown by Canadian LP Tweed, Inc. The indica-dominant hybrid crosses Afghani and Sensi Star genetics. The resulting buds smell of garlic and herbs, like fresh cut chives but with a fruity aftertaste. With a 1:1 ratio of THC to CBD Argyle creates a mellow, calming buzz that is a great answer to body pains and muscle spasms."
Armageddon,"Citrus, Earthy, Pungent, Diesel, Woody, Tropical",hybrid,"Relaxed, Euphoric, Happy, Talkative, Uplifted, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Stress, Lack of Appetite, Fatigue, Headaches",4.0,"Armageddon sounds pretty intimidating and while this strain is potent, consumers come down from its intense mental lift to find the world still exists—it just feels a little more relaxing. This strain’s plants flower quickly at 8 weeks and produce high yields of multi-colored buds that smell strongly of woodsy citrus. The citrus notes carry over into the taste, which is diverse and includes cheese and some fruitiness as well. Armageddon tends to have medium-high to high THC levels, packing a powerful punch for some consumers while others find the initial head effects great for day use and stimulating conversation. Eventually Armageddon mellows into solid body relaxation to finish off its exceptionally long buzz."
Armagnac,"Earthy, Skunk, Flowery, Spicy/Herbal, Sweet",hybrid,"Relaxed, Euphoric, Sleepy, Aroused, Talkative, Giggly, Happy","Dizzy, Dry Mouth","Insomnia, Stress",4.2,"Armagnac, bred by New House Seeds, is a hybrid that combines Krome’s The White with DJ Short’s Grape Kush. The strain takes its name from a specie of grapes native to the Gascony region of France and used for making brandy. Armagnac’s aroma is a mix of sweet, earthy flavors that give off a pungent fruit flavor of fresh grapes when exhaled. The effects are a mellow mix of a relaxed body and a refreshed mood, great for relieving pain and anxiety."
Ash,"Earthy, Pine, Pungent, Skunk, Spicy/Herbal",hybrid,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headache, Eye Pressure",4.5,"Ash is an indica-dominant hybrid cross between Afghan Haze and Afghan Skunk bred by Mr. Nice Seeds. These buds offer a fruity, berry aroma and effects that run the gamut between relaxing indicas and stimulating sativas. This strain's name, sometimes spelled A.S.H., is an acronym denoting its Afghani, Skunk, and Haze lineage. "
Astroboy,"Citrus, Sweet, Grapefruit",sativa,"Happy, Creative, Energetic, Tingly, Focused, Relaxed",,"Depression, Pain, Fatigue, Headaches, Muscle Spasms",4.5,"Astroboy is an energetic, sativa-dominant hybrid cannabis strain that combines Apollo 13 genetics with a cross of Ortega and Cinderella 99 bred by TGA Subcool Seeds. A mix of sweet and sour fruit flavors, like citrus and cherry, lead the way towards a heady buzz that is fast-acting and uplifting. The cerebral energy sparked by Astroboy is a great choice to keep you happy and active throughout a busy day. The watermelon phenotype of Astroboy is known to be an exceptional expression of the strain and is often desired as an influence for other breeding projects."
Athabasca,"Earthy, Ammonia, Apple, Diesel",indica,"Relaxed, Happy, Talkative, Uplifted, Giggly",Dry Mouth,"Depression, Stress, Fatigue, Headaches, Seizures",4.6,"Athabasca is a variety of the strain Pennywise grown by Canadian LP Aphria. Genetics from Harlequin and Jack the Ripper come together to create a sweet woody aroma that is highlighted by sharp peppery undertones. With a 1:1 ratio of CBD to THC the psychoactive effects are mild yet relaxing, making Athabasca an effective treatment for arthritis, PTSD, and epilepsy."
Atmosphere,"Flowery, Citrus, Earthy, Sweet",hybrid,"Relaxed, Euphoric, Creative, Uplifted, Tingly, Happy","Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Nausea",4.8,"Atmosphere is a balanced hybrid cross between two predominant strains: White Widow and OG Kush. Its frosty, resinous buds offer a piney aroma with citrus undertones. Effects are largely cerebral, inducing euphoria and creativity at onset and settling into physical relaxation."
Avalon,"Earthy, Nutty, Sweet",hybrid,"Hungry, Uplifted, Tingly, Giggly, Aroused","Dizzy, Dry Mouth, Paranoid","Insomnia, Pain, Stress, Nausea, Headache",3.6,A selectively bred cross between Afghani and Blueberry.  Avalon has strong sedating effects with a hashy taste.
Avi,"Earthy, Pungent",hybrid,"Relaxed, Happy, Creative, Energetic, Focused, Uplifted",Dry Mouth,"Depression, Insomnia, Fatigue, Inflammation, Muscle Spasms",3.0,"Avi is a high-CBD strain grown by Canadian LP Peace Naturals Project, Inc. It is a balanced hybrid, 50% indica and 50% sativa, with a 2:1 CBD:THC ratio. Its pungent aroma carries sweet hints of fruit and berry that create relaxing and calming effects perfect for relieving body aches and pains."
Avi-Dekel,"Earthy, Woody, Sweet, Flowery",hybrid,"Relaxed, Euphoric, Happy, Uplifted, Aroused, Focused, Energetic","Dizzy, Dry Mouth, Anxious","Depression, Pain, Stress, Headache, Fatigue, Inflammation",4.5,"Avi-Dekel is a sativa-dominant strain developed by Tikun Olam to contain high levels of CBD and almost no THC. Its CBD content, reaching as high as 15.8 percent, is intended to treat inflammation as well as sleep and digestive disorders. Avi-Dekel is ideal for patients seeking relief without the psychoactive effects of THC."
B-52,"Earthy, Sweet, Woody",indica,"Relaxed, Euphoric, Energetic, Focused, Happy, Giggly, Uplifted","Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Headaches",4.1,"B-52 is a 75/25 indica-dominant cross between Skunk and Big Bud. This hybrid by Nirvana Seeds is a sweet mix of skunky flavors that have remarkable cerebral effects for a strain that leans towards the indica end of the spectrum. It is a great strain for commercial production but its unique heady effects are enjoyed by connoisseurs and those with an affinity towards the Skunk family tree. A great strain for the relaxing while watching a movie, B-52 will leave you giggling and flying high."
B-Witched,"Earthy, Sweet, Chestnut, Citrus",hybrid,"Relaxed, Hungry, Euphoric, Happy, Sleepy",,"Insomnia, Stress, Lack of Appetite, Headaches, Muscle Spasms",5.0,"B-Witched by Ocean Grown Seeds is a magical cross of arcane genetics. By combining OGS Wizard’s Potion and the famous Witches Weed, a frosted herbaceous phantasm is brought to life, exhibiting notes of grape, forest floor, and grapefruit. Its terpene profile has also been described as “cupcake-ish.” The effects of B-Witched are enthralling, muting stress, anxiety, and nausea with ease. "
B-Witched,"Earthy, Sweet, Chestnut, Citrus",hybrid,"Relaxed, Hungry, Euphoric, Happy, Sleepy",,"Insomnia, Stress, Lack of Appetite, Headaches, Muscle Spasms",5.0,"B-Witched by Ocean Grown Seeds is a magical cross of arcane genetics. By combining OGS Wizard’s Potion and the famous Witches Weed, a frosted herbaceous phantasm is brought to life, exhibiting notes of grape, forest floor, and grapefruit. Its terpene profile has also been described as “cupcake-ish.” The effects of B-Witched are enthralling, muting stress, anxiety, and nausea with ease. "
B4,"Flowery, Minty, Earthy, Spicy/Herbal, Berry, Skunk",hybrid,"Relaxed, Euphoric, Happy, Uplifted, Giggly, Focused",,"Depression, Pain, Stress, Cramps",4.5,"B4, bred by MTG Seeds, is a hybrid cannabis strain that descends from Blue Dream and Chemdawg 4. Blissful, lightweight euphoria helps incite happiness and laughter, making this strain a perfect choice for stress and anxiety relief. Green-blue hues peek out from under a silvery coat of crystal trichomes, and its dense bud structure is telling of its OG Kush ancestry. "
Bakerstreet,"Earthy, Sweet, Diesel",indica,"Relaxed, Hungry, Euphoric, Happy, Giggly, Sleepy","Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Lack of Appetite, Headaches",3.7,"Bakerstreet is a variety of Hindu Kush grown by Canadian LP Tweed. It is a pure indica with origins in the Hindu Kush mountain range. The subtle sweet and earthy sandalwood aroma of Bakerstreet induces a deep sense of calm that helps bring relief to those suffering pain, nausea, and stress disorders. Its heavy body effects make it a top strain to help you relax and unwind at the end of a long day. "
Balmoral,"Chemical, Earthy, Pine, Cheese",hybrid,"Relaxed, Happy, Energetic, Talkative, Uplifted, Focused","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Headaches, Inflammation",4.2,"Balmoral is a variety of UK Cheese grown by Canadian LP Tweed, Inc. It carries the classic skunky blue cheese aroma that has given the Cheese strains their global reputation. The relaxing yet balanced effects of Balmoral help keep nausea and pain at bay while keeping stress and anxiety to minimum."
Bananas,"Tropical, Tree Fruit, Chemical, Grape, Vanilla",hybrid,"Relaxed, Hungry, Happy, Uplifted, Focused, Energetic",,"Depression, Pain, Stress, Lack of Appetite, Nausea",4.5,"Bananas from Leafs by Snoop is an indica-dominant hybrid strain offered in concentrate form. This shatter intends to capture sweet tropical flavors of fruit and banana, and offers energizing cerebral effects to fuel creativity. This strain is high in THC with a potency that’s said to stretch to 22%."
Bandana,"Earthy, Pungent, Woody",hybrid,"Relaxed, Euphoric, Happy, Creative, Tingly, Talkative",,"Depression, Pain, Stress, Fatigue, Headaches",4.2,"Bandana is a hybrid strain that combines Banana OG and 707 Headband, inheriting from its parents a sweet banana aroma and the buzzing cerebral sensation that first lent Headband its name. On the exhale, Bandana unleashes its fruity flavor over subtle earthy and sour notes. Powerful, heady euphoria awakens blissful relaxation in the mind while leaving the body feeling light and free of couchlocked sedation. It should be noted that AlphaKronik Genes bred a 70% sativa variation of Bandana that combines 707 Headband with a backcrossed Snowdawg."
Bango,"Earthy, Lime, Pungent",hybrid,"Euphoric, Creative, Energetic, Focused, Giggly, Uplifted",,,4.7,"Bango is a hybrid strain with a rich terpene profile and tropical flavors worth sharing. This hybrid is a combination of White Fire Alien OG and Mango Kush, exhibiting subtle hints of each on the nose and palate. With sweet, fruity flavors of mango, banana, and pine, and an aroma with sweet floral notes and citrus peel, Bango offers an enchanting bouquet that will linger in the air. Bango’s effects are equal parts cerebral and stimulating, and is certain to get you talking. This strain is preferred for mood elevation, appetite stimulation, and nullifying depression. "
Bedica,"Chemical, Spicy/Herbal, Nutty, Pungent, Cheese, Woody",indica,"Relaxed, Hungry, Happy, Tingly, Sleepy, Focused, Euphoric","Dizzy, Dry Mouth, Dry Eyes","Insomnia, Pain, Lack of Appetite, Headache, Headaches, Inflammation",4.3,"Bedica is a strain produced by Canadian LP Bedrocan. It is a heavy indica with an average THC content of around 14%. The high levels of the terpene myrcene found in Bedica are known to produce a sedating, calming effect perfect for those looking for stress relief or a good night’s sleep."
Bediol,"Citrus, Pine, Lemon, Mango",sativa,"Relaxed, Happy, Creative, Energetic, Uplifted, Talkative, Focused",,"Pain, Stress, Nausea, Fatigue, Inflammation",4.7,"Bediol by Canadian LP Bedrocan is a sativa-dominant strain with a balanced cannabinoid profile of 6.5% THC and 8% CBD. This almost even split caters to a variety of patient needs, including relief of pain, inflammation, anxiety, and nausea. Due to its heightened levels of CBD, Bediol provides a subdued high that is less euphoric and more relaxing. Still, those sensitive to THC should mind their dose. "
Belladonna,"Peach, Earthy, Butter",hybrid,"Euphoric, Happy, Uplifted, Sleepy, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Fatigue",4.0,Belladonna is a mostly sativa strain that also carries good indica characteristics making for a very nice hybrid.  A faster flowering time than typical sativa strains makes Belladonna a favorite among growers.  With a fruity smell and a trippy high Paradise Seeds has bred a winner.
Berkeley,"Sweet, Earthy, Pine, Citrus, Pungent",sativa,"Happy, Creative, Energetic, Uplifted, Talkative, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",4.3,"Berkeley is rumored to be the super-potent botany project of a student at the prestigious California university of the same name. This strain is certainly an overachiever with its extremely high THC content and lightning fast flowering time—as short as 4 weeks! Berkeley is known to give energetic, buzzy effects that are typical of sativas. This strain will stimulate your mind, but beware, it may cause anxiety for some users."
Bianca,"Earthy, Woody, Pine, Spicy/Herbal",hybrid,"Relaxed, Creative, Sleepy, Aroused, Euphoric, Focused",Dry Mouth,"Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms",4.2,"Bianca is a three-way indica-dominant hybrid that brings classic genetics and flavors together. This strain was created by blending a White Widow and Afghan cross with the Empress phenotype White Queen. It grows squat and sturdy plants that produce healthy yields with the proper amount of TLC. Known for its pungent hashy aroma and equal measures of euphoria and sedation, Bianca calms the consumer while enhancing mood, making it good medicine for patients seeking to curb anxiety, body aches, and nausea. "
Bio-Diesel,"Diesel, Pungent, Earthy",hybrid,"Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache",4.4,"Bio-Diesel is an exceptional cannabis hybrid as evidenced by the 1st place title it earned at 2009’s 2nd Annual Colorado Medical Marijuana Harvest Cup. This four-way cross between Sour Diesel, Sensi Star, Original Diesel, and NYC Diesel excels at delivering both intense and balanced effects: an acute, speedy sativa onset gravitates into numbing relaxation. The hybrid effects make this strain a reliable choice for mental and physical relief alike, so it’s no surprise that Bio-Diesel is cherished by cannabis connoisseurs."
Bio-Jesus,"Earthy, Flowery, Chemical, Diesel",hybrid,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",4.6,"Bio-Jesus is an indica-dominant hybrid renowned for its numbing potency and exceptional pain relief application. The strain springs from affluent genetics: its appearance resembles the favorite Ohio-bred indica Gumbo, and its aroma is similar to the Colorado Medical Marijuana Harvest Cup award-winning Bio-Diesel. Thanks to this parentage, Bio-Jesus provides intense body effects and a cerebral haze that promotes nighttime use."
Biochem,"Spicy/Herbal, Skunk, Earthy, Cheese",indica,"Relaxed, Hungry, Euphoric, Sleepy, Aroused, Tingly, Happy",,"Depression, Insomnia, Stress, Lack of Appetite, Fatigue",4.4,"Biochem is the sedating cross of Chemdawg 4 and Sensi Star. This indica-dominant strain offers patients a weighted relaxation with a gentle headiness that infuses the body with a soft and soothing haze. Enjoy Biochem in the evening, as its effects naturally sedate. The aroma and taste are rich with notes of fuel, citrus, and herbaceous greenery, while the appearance is bright green with a peppering of purple entangled in orange pistils. "
Blackberry,"Berry, Sweet, Earthy",hybrid,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",4.2,"Blackberry is a popular strain known for its balance of an active sativa buzz and the high yields of plants due to its indica side. It was bred in 2009 by Dutch company Nirvana Seeds as a cross between a Black Domina clone from the U.S and their own Raspberry Cough. Flowering happens between 9 and 11 weeks and plants will have a tight leaf structure and frosty buds. Indoor growing is recommended, but be warned, Blackberry plants are pungent. This strain has strong smoke that can have a fuel smell, but it is dominantly fruity."
Blackwater,"Earthy, Grape, Sweet, Berry",indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",4.6,"Blackwater is an indica strain typically bred from Mendo Purps and San Fernando Valley OG Kush. Its round, compact buds take on a deep purple color and a sweet grape aroma that blends with subtle undertones of lemon and pine. What begins as a mellow and euphoric cerebral experience melts down to the rest of the body in a head-to-toe euphoric calm that relieves stress and anxiety. Patients have also reported its success in treating pain, appetite loss, and multiple sclerosis. This strain is recommended for late-night consumption as it can cause mental cloudiness and detract from productivity. Blackwater has a flowering time of 8 to 10 weeks and produces moderate yields in indoor, outdoor, and greenhouse gardens. The 2014 Los Angeles Cannabis Cup awarded Blackwater 3rd place in the indica category."
Blaze,"Blueberry, Berry, Sweet",sativa,"Euphoric, Creative, Energetic, Uplifted, Focused, Talkative, Aroused",Dry Mouth,"Depression, Pain, Stress, Nausea, Inflammation",4.3,"British Columbia Seed Company crossed the indica Blueberry with Haze in order to tame this lanky, long-flowering Blaze. This large sativa-dominant plant combines the soaring cerebral high and sweet-spicy smell of Haze, while getting shorter flowering times and a distinct dried-grape aroma from Blueberry. Blaze is closely related to Blueberry Haze and Blue Dream."
Blockhead,"Lime, Earthy, Sweet, Pungent, Woody, Flowery",hybrid,"Relaxed, Hungry, Euphoric, Happy, Sleepy, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Pain, Stress, Lack of Appetite, Headache, Headaches",4.2,"An indica-dominant hybrid, Blockhead is not for the inexperienced user. Powerful physical effects typical of indica strains are accompanied by intense psychoactive effects that deem this strain unfit for those who are looking for a lot of social activity. Alternatively, this brown earthy flower is optimal for pain relief and sedative relaxation. For the experienced connoisseur who appreciates and respects power, this robust strain could easily become a favorite."
Bloodhound,"Earthy, Chestnut, Sage, Spicy/Herbal",hybrid,"Relaxed, Hungry, Happy, Talkative, Focused, Euphoric",Dry Eyes,"Depression, Stress, Lack of Appetite, Fatigue, Headaches",4.2,"Bloodhound is the obscure cross of Huckleberry Hound and Guard Dawg (by RedEyed Genetics). This genetic coupling was motivated by the desire to preserve the beautiful foliage and tartness of Huckleberry Hound while co-opting Guard Dawg’s potency. With a decent yield and THC percentage upwards of 24%, this strain smells of tart fruit intermixed with an earthy chocolate fondue flavor."
Blowfish,"Pine, Earthy, Sage, Spicy/Herbal, Pepper",hybrid,"Relaxed, Euphoric, Happy, Uplifted, Sleepy, Tingly",Dry Mouth,"Insomnia, Pain, Stress, Nausea, Headache, Muscle Spasms",4.2,"Blowfish is an indica-dominant hybrid bred by Dutch Flowers, who crossed a G13 and Oregon Funk hybrid with a G13 and Blue Dot hybrid to create this cannabis strain."
Blucifer,"Blueberry, Berry, Minty, Spicy/Herbal",sativa,"Relaxed, Happy, Creative, Uplifted, Focused, Talkative",Dry Eyes,"Depression, Pain, Lack of Appetite, Nausea, Headaches",4.3,"Created in 2013 by Terraform Genetics who crossed Conspiracy Kush and Blue Dream, Blucifer is a blue-ish purple sativa strain that radiates with the smell of blueberries and cream with a spicy finish. These frosty buds are meant to leave you feeling productive and motivated, making it a perfect choice for inspiring that long-overdue nature walk. Blucifer works well in indoor gardens with minimal direct sunlight, and it should finish flowering in 55 to 60 days."
Blueberry,"Blueberry, Berry, Sweet",indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Headaches",4.3,"A true A-List cannabis strain. Blueberry’s legendary status soared to new heights after claiming the High Times’ Cannabis Cup 2000 for Best Indica. The long history of the strain is traced back to the late 1970s when American breeder DJ Short was working with a variety of exotic landrace strains. However, throughout the decades of Blueberry’s cultivation the genetics have been passed around, due in large part to DJ Short working with multiple seed banks and breeders. The sweet flavors of fresh blueberries combine with relaxing effects to produce a long-lasting sense of euphoria. Many medical patients appreciate Blueberry for its ability to suppress pain and relieve stress, while connoisseurs and growers admire the strain for its colorful hues and high THC content. "
Blues,"Berry, Pungent, Blue Cheese, Sweet, Earthy",hybrid,"Hungry, Happy, Talkative, Focused, Relaxed, Uplifted, Creative, Sleepy",Dry Mouth,"Depression, Insomnia, Pain, Stress, Lack of Appetite",4.0,"Blues, also known as “Livers,” is a famous hybrid strain in the U.K. Its origins are a well-kept secret, but many speculate Blues to be a unique phenotype of Sensi Seeds’ Skunk #1 from the 80’s. Those who have chanced upon this mysterious clone-only strain describe its effects as uplifting, long-lasting, and clear-headed. Blues plants are strong and resilient, growing large buds that give off a sweet berry aroma."
