,name,flavors,id,race,positive,negative,medical
25,Alien Rift,"Earthy, Chemical, Citrus",27,indica,"Relaxed, Hungry, Euphoric, Happy, Creative",Dry Mouth,"Depression, Insomnia, Pain, Stress, Headaches"
26,Alien Rock Candy,"Sweet, Earthy, Citrus",28,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite"
27,Alien Sour Apple,"Apple, Orange, Ammonia",29,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted",,"Depression, Stress, Lack of Appetite, Muscle Spasms"
28,Alien Stardawg,"Earthy, Pungent, Rose",30,sativa,"Euphoric, Happy, Creative, Uplifted",Dry Mouth,"Depression, Stress, Lack of Appetite"
29,Alien Technology,"Spicy/Herbal, Chemical, Woody",31,indica,"Relaxed, Happy, Uplifted, Giggly",Dry Mouth,"Depression, Pain, Stress, Headaches"
30,Aliens On Moonshine,"Berry, Butter, Citrus",32,indica,"Relaxed, Happy, Tingly, Focused",,"Depression, Stress, Headaches, Inflammation"
31,Allen Wrench,"Berry, Tropical, Mango",33,sativa,"Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Nausea"
32,Allkush,"Honey, Spicy/Herbal, Earthy",34,indica,"Relaxed, Happy, Sleepy",Dry Eyes,"Pain, Stress, Eye Pressure"
33,Aloha,"Tropical, Sweet, Citrus",35,sativa,"Relaxed, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Fatigue, Headaches"
34,Aloha Limone,"Citrus, Earthy, Pungent",36,hybrid,"Relaxed, Happy, Creative, Energetic, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress"
35,Alohaberry,"Berry, Sweet, Citrus",37,hybrid,"Relaxed, Euphoric, Happy, Energetic, Giggly","Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Nausea, Fatigue"
36,Alpha Blue,"Blueberry, Sweet, Berry",38,sativa,"Relaxed, Happy, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Stress, Lack of Appetite, Fatigue"
37,Alpha Express,"Spicy/Herbal, Nutty, Tea",40,sativa,"Happy, Creative, Energetic, Uplifted, Focused",Dry Mouth,"Depression, Cramps, Fatigue, Headaches, Inflammation"
38,Alpha OG,"Berry, Earthy, Tea",41,hybrid,"Relaxed, Hungry, Euphoric, Happy, Creative","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Fatigue"
39,Alpine Blue,"Berry, Blueberry, Pine",42,hybrid,"Euphoric, Creative, Energetic, Uplifted, Aroused",,"Depression, Pain, Stress, Inflammation, Muscle Spasms"
40,Alpine Star,"Pine, Earthy, Lemon",43,indica,"Relaxed, Euphoric, Happy, Creative, Uplifted",Dry Mouth,"Depression, Insomnia, Pain, Stress, Fatigue"
41,Ambrosia,"Earthy, Tropical, Butter",44,hybrid,"Relaxed, Hungry, Euphoric, Happy, Tingly","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue"
42,American Dream,"Earthy, Sweet, Pungent",45,hybrid,"Relaxed, Euphoric, Happy, Creative, Focused","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Inflammation"
43,American Kush,"Sweet, Lemon, Lime",46,indica,"Relaxed, Happy, Tingly, Sleepy","Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Headaches, Muscle Spasms"
44,Americano,"Earthy, Diesel, Spicy/Herbal",47,indica,"Relaxed, Euphoric, Creative, Focused, Aroused",,"Pain, Nausea, Headaches"
45,Amnesia,"Earthy, Sweet, Citrus",50,sativa,"Relaxed, Euphoric, Happy, Energetic, Uplifted","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches"
46,Amnesia Haze,"Citrus, Lemon, Earthy",52,sativa,"Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Fatigue, Headaches"
47,Ancient Kush,"Cheese, Skunk, Citrus",53,indica,"Relaxed, Creative, Energetic, Sleepy, Aroused",,"Pain, Stress, Lack of Appetite, Headaches"
48,Ancient OG,"Earthy, Diesel, Nutty",54,indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Headaches"
49,Anesthesia,"Sweet, Earthy, Pungent",55,indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Pain, Stress, Headache, Headaches, Inflammation"
50,Angel OG,"Pungent, Earthy, Berry",56,indica,"Relaxed, Euphoric, Happy, Sleepy",Dry Mouth,"Insomnia, Pain, Stress"
51,Animal Cookies,"Sweet, Earthy, Pungent",57,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Fatigue"
52,Anonymous OG,"Earthy, Pungent, Citrus",58,indica,"Relaxed, Euphoric, Happy, Sleepy, Aroused",Dry Mouth,"Insomnia, Fatigue, Headaches, Eye Pressure, Inflammation"
53,Ape Shit,"Grape, Sweet, Lavender",59,hybrid,"Relaxed, Euphoric, Happy, Creative, Giggly",Dry Mouth,"Depression, Insomnia, Stress, Lack of Appetite, Eye Pressure"
54,Apollo 11,"Pungent, Cheese, Citrus",60,hybrid,"Relaxed, Euphoric, Happy, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Headaches"
55,Apollo 13,"Earthy, Sweet, Woody",61,hybrid,"Relaxed, Euphoric, Happy, Energetic, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Fatigue, Headaches"
56,Appalachia,"Pungent, Earthy, Woody",62,hybrid,"Relaxed, Hungry, Euphoric, Happy, Creative",Dry Eyes,"Pain, Cramps, Lack of Appetite, Inflammation, Muscle Spasms"
57,Appalachian Power,"Tropical, Grape, Citrus",63,sativa,"Euphoric, Happy, Creative, Energetic, Focused",,
58,Apple Jack,"Apple, Pungent, Skunk",64,hybrid,"Euphoric, Happy, Creative, Talkative, Uplifted","Dizzy, Dry Eyes, Anxious","Depression, Stress, Nausea, Fatigue, Muscle Spasms"
59,Apple Kush,"Apple, Diesel, Sweet",65,hybrid,"Relaxed, Euphoric, Happy, Tingly","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Eye Pressure"
60,Appleberry,"Berry, Earthy, Flowery",66,indica,"Relaxed, Sleepy, Focused",,"Depression, Stress, Lack of Appetite, Headaches, Muscle Spasms"
61,Arctic Sun,"Ammonia, Skunk",68,hybrid,"Relaxed, Hungry, Euphoric, Creative, Energetic",,Stress
62,ArcticBlue,"Blueberry, Sweet, Earthy",69,hybrid,"Relaxed, Happy, Creative, Energetic, Focused",Dry Mouth,"Pain, Stress, Lack of Appetite, Inflammation, Spasticity"
63,Area 51,"Sweet, Earthy, Citrus",70,hybrid,"Relaxed, Happy, Talkative, Uplifted, Giggly",Dry Mouth,"Depression, Pain, Stress, Cramps, Fatigue"
64,Argyle,"Earthy, Woody, Citrus",71,indica,"Relaxed, Happy, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Cramps, Fatigue"
65,Arjan's Strawberry Haze,"Strawberry, Sweet, Earthy",72,sativa,"Relaxed, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Headache, Fatigue, Muscle Spasms"
66,Arjan's Ultra Haze #1,"Mint, Pepper, Spicy/Herbal",73,sativa,"Relaxed, Happy, Energetic, Uplifted, Focused","Dry Mouth, Dry Eyes","Stress, Lack of Appetite, Fatigue, Headaches, Muscle Spasms"
67,Armageddon,"Citrus, Earthy, Pungent",74,hybrid,"Relaxed, Euphoric, Happy, Talkative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Stress, Lack of Appetite, Fatigue, Headaches"
68,Armagnac,"Earthy, Skunk, Flowery",75,hybrid,"Relaxed, Euphoric, Sleepy, Aroused","Dizzy, Dry Mouth","Insomnia, Stress"
69,Ash,"Earthy, Pine, Pungent",76,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headache, Eye Pressure"
70,Asian Fantasy,"Earthy, Skunk, Woody",77,sativa,"Relaxed, Hungry, Euphoric, Happy, Talkative","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Pain, Stress, Lack of Appetite, Headache, Headaches, Eye Pressure"
71,Aspen OG,"Spicy/Herbal, Skunk, Earthy",78,hybrid,"Relaxed, Hungry, Happy, Talkative, Focused",,"Depression, Stress, Fatigue, Headaches, Inflammation"
72,Astroboy,"Citrus, Sweet, Grapefruit",79,sativa,"Happy, Creative, Energetic, Tingly, Focused",,"Depression, Pain, Fatigue, Headaches, Muscle Spasms"
73,Athabasca,"Earthy, Ammonia, Apple",80,indica,"Relaxed, Happy, Talkative, Uplifted",Dry Mouth,"Depression, Stress, Fatigue, Headaches, Seizures"
74,Atmosphere,"Flowery, Citrus, Earthy",81,hybrid,"Relaxed, Euphoric, Creative, Uplifted, Tingly","Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Nausea"
75,Atomic Goat,"Nutty, Sweet, Earthy",82,hybrid,"Relaxed, Happy, Energetic, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Headaches, Muscle Spasms"
76,Atomic Northern Lights,"Earthy, Skunk, Pungent",83,hybrid,"Relaxed, Hungry, Euphoric, Happy, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Nausea, Headache, Headaches"
77,Atomical Haze,"Minty, Nutty, Pine",84,sativa,"Relaxed, Hungry, Happy, Creative, Focused","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Nausea, Eye Pressure"
78,Aurora Borealis,"Sweet, Earthy, Skunk",85,indica,"Relaxed, Happy, Energetic, Talkative, Uplifted",Dry Mouth,"Insomnia, Pain, Stress, Lack of Appetite, Headaches"
79,Aurora Indica,"Earthy, Pine, Citrus",86,indica,"Relaxed, Euphoric, Happy, Sleepy, Aroused","Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Muscle Spasms"
80,Avalon,"Earthy, Nutty, Sweet",87,hybrid,"Hungry, Uplifted, Tingly, Giggly, Aroused","Dizzy, Dry Mouth, Paranoid","Insomnia, Pain, Stress, Nausea, Headache"
81,Avi,"Earthy, Pungent",88,hybrid,"Relaxed, Happy, Creative, Energetic, Focused",Dry Mouth,"Depression, Insomnia, Fatigue, Inflammation, Muscle Spasms"
82,Avi-Dekel,"Earthy, Woody, Sweet",89,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Aroused","Dizzy, Dry Mouth, Anxious","Depression, Pain, Stress, Headache, Fatigue, Inflammation"
83,Azure Haze,"Sweet, Berry, Earthy",90,hybrid,"Relaxed, Hungry, Happy, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite"
84,B-52,"Earthy, Sweet, Woody",91,indica,"Relaxed, Euphoric, Energetic, Focused","Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Headaches"
85,B-Witched,"Earthy, Sweet, Chestnut",92,hybrid,"Relaxed, Hungry, Euphoric, Happy, Sleepy",,"Insomnia, Stress, Lack of Appetite, Headaches, Muscle Spasms"
86,B.B. King,"Berry, Blueberry, Lemon",93,indica,"Relaxed, Happy, Uplifted, Sleepy, Giggly",,"Depression, Insomnia, Pain, Nausea, Muscle Spasms"
87,B4,"Flowery, Minty, Earthy",94,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Giggly",,"Depression, Pain, Stress, Cramps"
88,BC Big Bud,"Skunk, Earthy, Sweet",95,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite"
89,BC Roadkill,"Skunk, Diesel, Lemon",96,hybrid,"Euphoric, Happy, Creative, Uplifted, Aroused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Fatigue"
90,BC Sweet Tooth,"Sweet, Honey, Tree Fruit",97,indica,"Relaxed, Happy, Creative, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Pain, Stress, Lack of Appetite, Headache, Inflammation"
91,BOG Bubble,"Flowery, Berry, Earthy",98,hybrid,"Relaxed, Hungry, Happy, Creative, Uplifted","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Cramps"
92,BSC,"Earthy, Pungent, Woody",99,hybrid,"Euphoric, Happy, Creative, Uplifted, Giggly",Dry Mouth,"Pain, Stress, Cramps, Nausea, Headaches"
93,Bakerstreet,"Earthy, Sweet, Diesel",100,indica,"Relaxed, Hungry, Euphoric, Happy, Giggly","Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Lack of Appetite, Headaches"
94,Balmoral,"Chemical, Earthy, Pine",101,hybrid,"Relaxed, Happy, Energetic, Talkative","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Headaches, Inflammation"
95,Banana Candy,"Tree Fruit, Flowery, Earthy",102,indica,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Muscle Spasms"
96,Banana Diesel,"Sweet, Diesel, Earthy",103,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Tingly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Fatigue, Headaches"
97,Banana Kush,"Sweet, Tropical, Tree Fruit",104,hybrid,"Relaxed, Happy, Creative, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
98,Banana OG,"Sweet, Earthy, Flowery",105,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headaches"
99,Banana Peel,"Sweet, Tree Fruit, Pear",106,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted",,"Depression, Pain, Stress, Fatigue, Headaches"
100,Bananas,"Tropical, Tree Fruit, Chemical",107,hybrid,"Relaxed, Hungry, Happy, Uplifted, Focused",,"Depression, Pain, Stress, Lack of Appetite, Nausea"
101,Bandana,"Earthy, Pungent, Woody",108,hybrid,"Relaxed, Euphoric, Happy, Creative, Tingly",,"Depression, Pain, Stress, Fatigue, Headaches"
102,Bango,"Earthy, Lime, Pungent",109,hybrid,"Euphoric, Creative, Energetic, Focused, Giggly",,
103,Barbara Bud,"Earthy, Spicy/Herbal, Woody",110,indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms"
104,Batman OG,"Skunk, Sweet, Tropical",112,indica,"Relaxed, Happy, Creative, Sleepy, Giggly",,"Depression, Insomnia, Lack of Appetite, Eye Pressure"
105,Bay 11,"Earthy, Sweet, Citrus",113,sativa,"Relaxed, Happy, Creative, Energetic, Uplifted","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Inflammation, Spasticity"
106,Bay Dream,"Citrus, Earthy, Pungent",114,sativa,"Relaxed, Hungry, Euphoric, Happy, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headaches"
107,Beastmode 2.0,"Sweet, Berry, Citrus",115,indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy",,"Depression, Insomnia, Pain, Stress, Lack of Appetite"
108,Beastmode OG,"Earthy, Apricot, Cheese",116,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Giggly","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Fatigue"
109,Bedford Glue,"Earthy, Flowery, Grape",117,hybrid,"Relaxed, Euphoric, Happy, Energetic, Giggly",,"Pain, Lack of Appetite, Inflammation, Seizures, Muscle Spasms"
110,Bedica,"Chemical, Spicy/Herbal, Nutty",118,indica,"Relaxed, Hungry, Happy, Tingly, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Insomnia, Pain, Lack of Appetite, Headache, Headaches, Inflammation"
111,Bediol,"Citrus, Pine, Lemon",119,sativa,"Relaxed, Happy, Creative, Energetic, Uplifted",,"Pain, Stress, Nausea, Fatigue, Inflammation"
112,Bell Ringer,"Citrus, Pungent, Sweet",120,indica,"Relaxed, Hungry, Sleepy","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Lack of Appetite, Nausea"
113,Belladonna,"Peach, Earthy, Butter",121,hybrid,"Euphoric, Happy, Uplifted, Sleepy, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Fatigue"
114,Berkeley,"Sweet, Earthy, Pine",122,sativa,"Happy, Creative, Energetic, Uplifted","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache"
115,Berry Bomb,"Berry, Sweet, Earthy",123,hybrid,"Relaxed, Hungry, Euphoric, Happy, Creative","Dizzy, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Stress, Lack of Appetite, Headache, Headaches"
116,Berry Noir,"Berry, Earthy, Ammonia",124,indica,"Relaxed, Hungry, Euphoric, Sleepy, Focused",,"Insomnia, Stress, Nausea, Inflammation, Muscle Spasms"
117,Berry OG,"Berry, Apple, Sweet",125,hybrid,"Relaxed, Euphoric, Happy, Creative, Sleepy","Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Nausea"
118,Berry White,"Berry, Sweet, Blueberry",126,indica,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Fatigue"
119,Bertberry Cheesecake,"Blueberry, Cheese, Berry",128,sativa,"Euphoric, Creative, Energetic, Uplifted, Focused",,"Depression, Insomnia, Stress, Cramps, Headaches"
120,Bettie Page,"Cheese, Diesel, Pungent",129,hybrid,"Relaxed, Happy, Creative, Energetic, Uplifted",Dizzy,"Depression, Insomnia, Pain, Stress, Fatigue"
121,Bhang 007 OG,"Earthy, Pine, Woody",130,indica,"Relaxed, Hungry, Tingly, Sleepy",Anxious,"Insomnia, Pain, Nausea, Fatigue, Headaches"
122,Bhang Afgoo,"Earthy, Chemical, Diesel",135,indica,"Relaxed, Creative, Tingly, Aroused",Dry Mouth,"Depression, Insomnia, Pain, Lack of Appetite, Fatigue"
123,Bhang Arjan's Strawberry Haze,Strawberry,138,sativa,"Happy, Talkative",Dry Mouth,
124,Bhang Blackberry Kush,"Berry, Grape, Lavender",143,indica,"Relaxed, Happy, Uplifted, Tingly, Focused",,"Pain, Stress, Fatigue, Headaches, Inflammation"
125,Bhang Bubba Kush,Earthy,145,indica,"Relaxed, Happy, Sleepy",,
126,Bhang Cali Orange,"Blue Cheese, Flowery, Orange",147,hybrid,"Relaxed, Euphoric, Happy, Aroused",Dizzy,"Depression, Insomnia, Lack of Appetite"
127,Bhang Casey Jones,"Ammonia, Chemical, Menthol",148,sativa,,,"Nausea, Fatigue, Headaches, Eye Pressure, Muscle Spasms"
128,Bhang Cheese,Cheese,150,hybrid,"Relaxed, Focused",Dry Mouth,
129,Bhang ChemDawg,"Earthy, Pungent",151,hybrid,"Relaxed, Happy, Energetic, Uplifted",,"Pain, Stress, Nausea, Headaches"
130,Bhang Cherry Kola,Butter,152,indica,,"Dizzy, Dry Eyes, Anxious","Pain, Lack of Appetite, Nausea"
131,Bhang Chocolope,"Coffee, Earthy, Flowery",156,sativa,"Euphoric, Happy, Energetic, Uplifted, Giggly",,"Depression, Stress, Fatigue"
132,Bhang Diablo OG,"Citrus, Earthy, Blueberry",159,indica,"Euphoric, Happy, Creative, Uplifted",Dizzy,"Insomnia, Pain, Stress, Lack of Appetite, Headaches"
133,Bhang Durban Poison,"Earthy, Flowery, Pungent",161,sativa,"Relaxed, Hungry, Happy, Uplifted, Giggly",,"Depression, Stress, Fatigue, Headaches, Inflammation"
134,Bhang Dutch Treat,"Earthy, Pungent, Woody",162,hybrid,"Relaxed, Hungry, Uplifted, Focused",,"Stress, Fatigue, Headaches, Eye Pressure"
135,Bhang Girl Scout Cookies,"Earthy, Grapefruit, Pine",166,hybrid,"Relaxed, Euphoric, Creative, Tingly, Focused",,"Depression, Pain, Stress, Lack of Appetite, Inflammation"
136,Bhang Granddaddy Purple,"Grape, Berry, Woody",167,indica,"Relaxed, Euphoric, Happy, Energetic, Aroused",Dry Mouth,"Insomnia, Pain, Stress, Lack of Appetite, Nausea"
137,Bhang Grape Ape,"Berry, Grape",168,indica,"Euphoric, Focused, Giggly",Dry Eyes,Stress
138,Bhang Harlequin,"Woody, Chestnut, Lemon",170,sativa,"Relaxed, Happy, Sleepy, Focused, Giggly",,"Depression, Headaches"
139,Bhang Hawaiian Haze,"Flowery, Pungent, Sweet",171,sativa,"Relaxed, Hungry, Uplifted, Sleepy, Giggly",,
140,Bhang Holy Grail,"Grapefruit, Lime, Skunk",175,hybrid,"Hungry, Euphoric, Happy","Dry Mouth, Dry Eyes","Pain, Stress, Lack of Appetite, Muscle Spasms"
141,Bhang Island Sweet Skunk,"Skunk, Sweet, Tropical",177,sativa,"Happy, Energetic, Uplifted, Tingly, Aroused","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Fatigue, Inflammation"
142,Bhang J-1,"Blueberry, Citrus, Lemon",178,hybrid,"Relaxed, Euphoric, Uplifted, Tingly, Focused",,"Stress, Fatigue"
143,Bhang Jack Herer,"Citrus, Sweet, Tar",180,sativa,"Relaxed, Hungry, Euphoric, Happy, Energetic",,"Depression, Insomnia, Pain, Headaches"
